state,ratio,avg_value,schools_char,char_count,teachers_gender,teachers_gender_count,pupils_gender,pupils_gender_count
Tunis1,avg_pupil_to_teacher,18.5,number_taught_classes,1479,teachers_female,1685,pupils_female,19362
Tunis1,avg_pupil_to_teacher,18.5,number_taught_classes,1479,teachers_female,1685,pupils_all,39865
Tunis1,avg_pupil_to_teacher,18.5,number_taught_classes,1479,teachers_female,1685,pupils_male,20503
Tunis1,avg_pupil_to_teacher,18.5,number_taught_classes,1479,teachers_male,465,pupils_female,19362
Tunis1,avg_pupil_to_teacher,18.5,number_taught_classes,1479,teachers_male,465,pupils_all,39865
Tunis1,avg_pupil_to_teacher,18.5,number_taught_classes,1479,teachers_male,465,pupils_male,20503
Tunis1,avg_pupil_to_teacher,18.5,number_taught_classes,1479,teachers_all,2150,pupils_female,19362
Tunis1,avg_pupil_to_teacher,18.5,number_taught_classes,1479,teachers_all,2150,pupils_all,39865
Tunis1,avg_pupil_to_teacher,18.5,number_taught_classes,1479,teachers_all,2150,pupils_male,20503
Tunis1,avg_pupil_to_teacher,18.5,number_classerooms,979,teachers_female,1685,pupils_female,19362
Tunis1,avg_pupil_to_teacher,18.5,number_classerooms,979,teachers_female,1685,pupils_all,39865
Tunis1,avg_pupil_to_teacher,18.5,number_classerooms,979,teachers_female,1685,pupils_male,20503
Tunis1,avg_pupil_to_teacher,18.5,number_classerooms,979,teachers_male,465,pupils_female,19362
Tunis1,avg_pupil_to_teacher,18.5,number_classerooms,979,teachers_male,465,pupils_all,39865
Tunis1,avg_pupil_to_teacher,18.5,number_classerooms,979,teachers_male,465,pupils_male,20503
Tunis1,avg_pupil_to_teacher,18.5,number_classerooms,979,teachers_all,2150,pupils_female,19362
Tunis1,avg_pupil_to_teacher,18.5,number_classerooms,979,teachers_all,2150,pupils_all,39865
Tunis1,avg_pupil_to_teacher,18.5,number_classerooms,979,teachers_all,2150,pupils_male,20503
Tunis1,avg_pupil_to_teacher,18.5,number_schools,95,teachers_female,1685,pupils_female,19362
Tunis1,avg_pupil_to_teacher,18.5,number_schools,95,teachers_female,1685,pupils_all,39865
Tunis1,avg_pupil_to_teacher,18.5,number_schools,95,teachers_female,1685,pupils_male,20503
Tunis1,avg_pupil_to_teacher,18.5,number_schools,95,teachers_male,465,pupils_female,19362
Tunis1,avg_pupil_to_teacher,18.5,number_schools,95,teachers_male,465,pupils_all,39865
Tunis1,avg_pupil_to_teacher,18.5,number_schools,95,teachers_male,465,pupils_male,20503
Tunis1,avg_pupil_to_teacher,18.5,number_schools,95,teachers_all,2150,pupils_female,19362
Tunis1,avg_pupil_to_teacher,18.5,number_schools,95,teachers_all,2150,pupils_all,39865
Tunis1,avg_pupil_to_teacher,18.5,number_schools,95,teachers_all,2150,pupils_male,20503
Tunis1,avg_pupil_to_class,27,number_taught_classes,1479,teachers_female,1685,pupils_female,19362
Tunis1,avg_pupil_to_class,27,number_taught_classes,1479,teachers_female,1685,pupils_all,39865
Tunis1,avg_pupil_to_class,27,number_taught_classes,1479,teachers_female,1685,pupils_male,20503
Tunis1,avg_pupil_to_class,27,number_taught_classes,1479,teachers_male,465,pupils_female,19362
Tunis1,avg_pupil_to_class,27,number_taught_classes,1479,teachers_male,465,pupils_all,39865
Tunis1,avg_pupil_to_class,27,number_taught_classes,1479,teachers_male,465,pupils_male,20503
Tunis1,avg_pupil_to_class,27,number_taught_classes,1479,teachers_all,2150,pupils_female,19362
Tunis1,avg_pupil_to_class,27,number_taught_classes,1479,teachers_all,2150,pupils_all,39865
Tunis1,avg_pupil_to_class,27,number_taught_classes,1479,teachers_all,2150,pupils_male,20503
Tunis1,avg_pupil_to_class,27,number_classerooms,979,teachers_female,1685,pupils_female,19362
Tunis1,avg_pupil_to_class,27,number_classerooms,979,teachers_female,1685,pupils_all,39865
Tunis1,avg_pupil_to_class,27,number_classerooms,979,teachers_female,1685,pupils_male,20503
Tunis1,avg_pupil_to_class,27,number_classerooms,979,teachers_male,465,pupils_female,19362
Tunis1,avg_pupil_to_class,27,number_classerooms,979,teachers_male,465,pupils_all,39865
Tunis1,avg_pupil_to_class,27,number_classerooms,979,teachers_male,465,pupils_male,20503
Tunis1,avg_pupil_to_class,27,number_classerooms,979,teachers_all,2150,pupils_female,19362
Tunis1,avg_pupil_to_class,27,number_classerooms,979,teachers_all,2150,pupils_all,39865
Tunis1,avg_pupil_to_class,27,number_classerooms,979,teachers_all,2150,pupils_male,20503
Tunis1,avg_pupil_to_class,27,number_schools,95,teachers_female,1685,pupils_female,19362
Tunis1,avg_pupil_to_class,27,number_schools,95,teachers_female,1685,pupils_all,39865
Tunis1,avg_pupil_to_class,27,number_schools,95,teachers_female,1685,pupils_male,20503
Tunis1,avg_pupil_to_class,27,number_schools,95,teachers_male,465,pupils_female,19362
Tunis1,avg_pupil_to_class,27,number_schools,95,teachers_male,465,pupils_all,39865
Tunis1,avg_pupil_to_class,27,number_schools,95,teachers_male,465,pupils_male,20503
Tunis1,avg_pupil_to_class,27,number_schools,95,teachers_all,2150,pupils_female,19362
Tunis1,avg_pupil_to_class,27,number_schools,95,teachers_all,2150,pupils_all,39865
Tunis1,avg_pupil_to_class,27,number_schools,95,teachers_all,2150,pupils_male,20503
Tunis2,avg_pupil_to_teacher,19.6,number_taught_classes,1492,teachers_female,1531,pupils_female,19645
Tunis2,avg_pupil_to_teacher,19.6,number_taught_classes,1492,teachers_female,1531,pupils_all,40271
Tunis2,avg_pupil_to_teacher,19.6,number_taught_classes,1492,teachers_female,1531,pupils_male,20626
Tunis2,avg_pupil_to_teacher,19.6,number_taught_classes,1492,teachers_male,523,pupils_female,19645
Tunis2,avg_pupil_to_teacher,19.6,number_taught_classes,1492,teachers_male,523,pupils_all,40271
Tunis2,avg_pupil_to_teacher,19.6,number_taught_classes,1492,teachers_male,523,pupils_male,20626
Tunis2,avg_pupil_to_teacher,19.6,number_taught_classes,1492,teachers_all,2054,pupils_female,19645
Tunis2,avg_pupil_to_teacher,19.6,number_taught_classes,1492,teachers_all,2054,pupils_all,40271
Tunis2,avg_pupil_to_teacher,19.6,number_taught_classes,1492,teachers_all,2054,pupils_male,20626
Tunis2,avg_pupil_to_teacher,19.6,number_classerooms,916,teachers_female,1531,pupils_female,19645
